Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Nitro lookbook id (product.metafields.nitro_lookbook.lookbook_product),Hide from Search (product.metafields.seo.hidden),Age group (product.metafields.shopify.age-group),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Included / Vietnam,Price / Vietnam,Compare At Price / Vietnam,Status
3d-custom-text-puff-embroidery-design-files-digital-download,3D Custom Text Puff Embroidery Design Files - Digital Download,"<p><strong>This is a digital product only.<br><br>Process:</strong><br>Once you place your order, our artists will draw your design and send it directly to you via email. You can request as many changes as needed until your design is perfect.</p>
<p><strong>Delivery:</strong><br>Upon approval, you’ll receive an email with a high-quality version of your design,  also accessible anytime through your account dashboard on our website.</p>",Eco Print,Uncategorized,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,6.00,,false,false,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/il_1588xN.5978205249_g1u7_1.webp?v=1739702642,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
3d-custom-text-puff-embroidery-design-files-digital-download,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/il_1588xN.5930130076_kjx8.webp?v=1739702642,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3d-custom-text-puff-embroidery-design-files-digital-download,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/il_1588xN.5993683315_q08q.webp?v=1739702835,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3d-custom-text-puff-embroidery-design-files-digital-download,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/il_1588xN.6037983649_a69o.webp?v=1739702835,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3d-custom-text-puff-embroidery-design-files-digital-download,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/4b01ceb5a256e7f6be089a0ff94d31d6.jpg?v=1739702835,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3d-custom-text-puff-embroidery-design-files-digital-download,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/il_1588xN.6517386148_ha8z.webp?v=1739702824,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3d-custom-text-puff-embroidery-design-files-digital-download,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/il_1588xN.6517386152_3u5j.webp?v=1739702824,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
custom-embroidery-logo-digitizing-service,Custom Embroidery Logo Digitizing Service,"<p><strong>This is a digital product only.<br><br>Process:</strong><br>Once you place your order, our artists will draw your design and send it directly to you via email. You can request as many changes as needed until your design is perfect.</p>
<p><strong>Delivery:</strong><br>Upon approval, you’ll receive an email with a high-quality version of your design,  also accessible anytime through your account dashboard on our website.</p>",Eco Print,Uncategorized,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,8.00,,false,false,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/il_1588xN.5730603271_gb3h.webp?v=1740125385,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
custom-embroidery-logo-digitizing-service,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/il_1588xN.5903426794_owv0.webp?v=1740125385,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
custom-embroidery-logo-digitizing-service,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/il_1588xN.6387945667_civd.webp?v=1740125385,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
